sequence,rtt_s,lost,order_error
1,0.000161,0,0
2,0.000307,0,0
3,0.000274,0,0
4,0.000450,0,0
5,0.000445,0,0
6,0.000304,0,0
7,0.000281,0,0
8,0.000277,0,0
9,0.000292,0,0
10,0.000302,0,0
11,0.000253,0,0
12,0.000350,0,0
13,0.000186,0,0
14,0.000307,0,0
15,0.000339,0,0
16,0.000308,0,0
17,0.000320,0,0
18,0.000237,0,0
19,0.000298,0,0
20,0.000319,0,0
21,0.000503,0,0
22,0.000275,0,0
23,0.000293,0,0
24,0.000360,0,0
25,0.000291,0,0
26,0.000257,0,0
27,0.000278,0,0
28,0.000284,0,0
29,0.000280,0,0
30,0.000293,0,0
31,0.000294,0,0
32,0.000301,0,0
33,0.000225,0,0
34,0.000280,0,0
35,0.000293,0,0
36,0.000249,0,0
37,0.000279,0,0
38,0.000332,0,0
39,0.000291,0,0
40,0.000248,0,0
41,0.000304,0,0
42,0.000274,0,0
43,0.000254,0,0
44,0.000300,0,0
45,0.000221,0,0
46,0.000368,0,0
47,0.000220,0,0
48,0.000439,0,0
49,0.000240,0,0
50,0.000239,0,0
51,0.000328,0,0
52,0.000263,0,0
53,0.000240,0,0
54,0.000255,0,0
55,0.000373,0,0
56,0.000250,0,0
57,0.000304,0,0
58,0.000277,0,0
59,0.000278,0,0
60,0.000315,0,0
61,0.000311,0,0
62,0.000248,0,0
63,0.000313,0,0
64,0.000228,0,0
65,0.000304,0,0
66,0.000324,0,0
67,0.000387,0,0
68,0.000370,0,0
69,0.000342,0,0
70,0.000315,0,0
71,0.000237,0,0
72,0.000273,0,0
73,0.000214,0,0
74,0.000333,0,0
75,0.000545,0,0
76,0.000300,0,0
77,0.000303,0,0
78,0.000421,0,0
79,0.000340,0,0
80,0.000269,0,0
81,0.000256,0,0
82,0.000366,0,0
83,0.000276,0,0
84,0.000291,0,0
85,0.000279,0,0
86,0.000181,0,0
87,0.000377,0,0
88,0.000278,0,0
89,0.000188,0,0
90,0.000260,0,0
91,0.000314,0,0
92,0.000271,0,0
93,0.000211,0,0
94,0.000283,0,0
95,0.000252,0,0
96,0.000236,0,0
97,0.000297,0,0
98,0.000307,0,0
99,0.000310,0,0
100,0.000209,0,0
