sequence,rtt_s,lost,order_error
1,0.200383,0,0
2,0.200305,0,0
3,0.200356,0,0
4,0.200306,0,0
5,0.200431,0,0
6,0.200404,0,0
7,0.200325,0,0
8,1.986290,0,0
9,0.200491,0,0
10,0.200300,0,0
11,0.200384,0,0
12,0.200612,0,0
13,0.200755,0,0
14,0.200415,0,0
15,0.200300,0,0
16,0.200398,0,0
17,0.200329,0,0
18,0.200807,0,0
19,0.607452,0,0
20,0.200257,0,0
21,0.200473,0,0
22,0.200459,0,0
23,0.200392,0,0
24,0.200381,0,0
25,0.200290,0,0
26,0.200549,0,0
27,0.200405,0,0
28,0.607208,0,0
29,0.607159,0,0
30,0.200395,0,0
31,0.606382,0,0
32,0.200369,0,0
33,0.200672,0,0
34,0.200683,0,0
35,0.608763,0,0
36,0.200393,0,0
37,0.200316,0,0
38,0.200313,0,0
39,0.604319,0,0
40,0.200724,0,0
41,0.200445,0,0
42,0.200352,0,0
43,0.200555,0,0
44,0.200278,0,0
45,0.200486,0,0
46,0.200408,0,0
47,0.200319,0,0
48,0.607041,0,0
49,0.200250,0,0
50,0.200343,0,0
51,0.200404,0,0
52,0.200332,0,0
53,0.200478,0,0
54,0.200296,0,0
55,0.200337,0,0
56,0.200815,0,0
57,0.200453,0,0
58,0.200628,0,0
59,0.200406,0,0
60,0.200274,0,0
61,0.200357,0,0
62,0.200401,0,0
63,0.200380,0,0
64,0.200400,0,0
65,0.603007,0,0
66,0.200514,0,0
67,0.200321,0,0
68,0.200470,0,0
69,0.200478,0,0
70,0.200434,0,0
71,0.200384,0,0
72,0.200373,0,0
73,0.200429,0,0
74,0.200335,0,0
75,0.200467,0,0
76,0.200394,0,0
77,0.200321,0,0
78,0.200451,0,0
79,0.603068,0,0
80,0.200628,0,0
81,0.200350,0,0
82,0.200495,0,0
83,0.200404,0,0
84,0.200366,0,0
85,0.200335,0,0
86,0.200334,0,0
87,0.200366,0,0
88,0.200610,0,0
89,0.200335,0,0
90,0.200462,0,0
91,0.200403,0,0
92,0.200399,0,0
93,0.200381,0,0
94,0.200653,0,0
95,0.200479,0,0
96,0.200450,0,0
97,0.200398,0,0
98,0.200375,0,0
99,0.200427,0,0
100,0.200323,0,0
